id,jenis_komoditi,jumlah,satuan,tahun
155,KEMIRI SUNAN,1203,TON,2018
156,KENANGA,10188,TON,2018
157,KINA,10391,TON,2018
158,KOPI ARABIKA,1081167326,TON,2018
159,KOPI ROBUSTA,99731744,TON,2018
160,KUMIS KUCING,5642,TON,2018
161,LADA,8641515105,TON,2018
162,MENDONG,14371,TON,2018
163,NILAM,16317837,TON,2018
164,PALA,1154192487,TON,2018
165,PANDAN,18762,TON,2018
166,PANILI,1332140353,TON,2018
167,PINANG,1355240288,TON,2018
168,SEREHWANGI,6086949467,TON,2018
169,T E H,4244824195,TON,2018
170,TEBU,252701,TON,2018
171,TEBU (GULA CAKO),505,TON,2018
172,TEMBAKAU,8226650165,TON,2018
173,AKARWANGI,42,TON,2019
174,AREN,6202066323,TON,2019
175,CENGKEH,794732498,TON,2019
176,GUTTAPERCHA,0,TON,2019
177,JAMBU METE,9037,TON,2019
178,JARAK,29569,TON,2019
179,KAKAO,7326737012,TON,2019
180,KAPOK,2963496855,TON,2019
181,KARET,7617162009,TON,2019
182,KAYU MANIS,787,TON,2019
183,KELAPA DALAM,9184686809,TON,2019
184,KELAPA DERES,15240887,TON,2019
185,KELAPA HIBRIDA,7800991546,TON,2019
186,KELAPA SAWIT,17930432,TON,2019
187,KEMIRI,2234600126,TON,2019
188,KEMIRI SUNAN,8,TON,2019
189,KENANGA,10014,TON,2019
190,KINA,1068,TON,2019
191,KOPI ARABIKA,11246172,TON,2019
192,KOPI ROBUSTA,9316246349,TON,2019
193,KUMIS KUCING,5642,TON,2019
194,LADA,8561831231,TON,2019
195,MENDONG,113825,TON,2019
196,NILAM,15001637,TON,2019
197,PALA,1049356616,TON,2019
198,PANDAN,18710237,TON,2019
199,PANILI,13799099,TON,2019
200,PINANG,1301721288,TON,2019
201,SEREHWANGI,6359609467,TON,2019
202,T E H,415548015,TON,2019
203,TEBU,252701,TON,2019
204,TEBU (GULA CAKO),503,TON,2019
205,TEMBAKAU,836873225,TON,2019
